Readings,temperature,pressure,VRS01,VRR12,VRR22,VRR23,VRR33,VRS03,VRN13,VRS21,VRN16,VRN26,VRR43,VRS31,VRR21,VRR34,VRR11,VRR47,VRN21,VRI02,VRI01,VRR32,VRR41,VRS11,VRN24,VRN12,VRN23,VRN15,VRS12,VRS04,VRN11,VRR44,VRS22,VRR42,VRS02,VRR31,VRR24,VRS41,VRN27,VRR13,VRN14,VRR37,VRS32,VRS42,VRI03,VRN17,VRN22,VRN25,VRR17,VRR14,VRR27,Pred
1,122.3671746,16.20447391,0.033902863,0.192685272,0.059461166,0.051838074,0.112667633,0.047543457,10.04768704,0.231612579,62.79723694,-45.12055232,-251.3892898,0.251447403,0.113597641,-312.3440359,0.010550919,-249.8258274,21.11550345,0.003002289,1.769288971,-0.015968323,-254.003197,0.230773193,-27.96277338,69.41691945,58.15953816,44.01418436,0.243620193,0.075204178,17.56968953,-327.3335142,0.233839478,-234.6647686,0.079374527,-0.001798706,0.050669144,0.192264328,18.24702644,0.033561401,-13.05006889,-0.027285431,0.187916901,0.141385498,0.004996033,26.50341391,29.28027321,7.104863861,0.185737076,0.023390305,-0.019334961,1
2,123.7411846,12.53042847,0.034007309,0.192207649,0.05811496,0.051235817,0.112723656,0.047376862,10.04768704,0.231259041,62.79723694,-45.12055232,-240.6150446,0.251010826,0.112210732,-319.0660428,0.009749535,-258.6846253,21.11550345,0.003001274,1.771183167,-0.015944466,-251.0990459,0.230719193,-27.96277338,69.41691945,58.15953816,44.01418436,0.243737427,0.075060455,17.56968953,-338.1358537,0.232882225,-240.9866546,0.079448059,-0.001614098,0.050119209,0.192228745,18.24702644,0.033111633,-13.05006889,-0.027285431,0.187970871,0.141592209,0.004995758,26.50341391,29.28027321,7.104863861,0.185174698,0.022798729,-0.020217896,0
3,123.3298704,10.28875088,0.034017899,0.192343719,0.058034882,0.051231766,0.112651382,0.047326202,10.04768704,0.231231537,62.79723694,-45.12055232,-251.289447,0.250845947,0.112096039,-310.8524697,0.009600647,-247.3385073,21.11550345,0.003001022,1.771916122,-0.016378326,-256.4041622,0.230669022,-27.96277338,69.41691945,58.15953816,44.01418436,0.243779465,0.075042343,17.56968953,-325.3870367,0.232652542,-233.5289384,0.079462204,-0.000573334,0.050394669,0.192222595,18.24702644,0.033286728,-13.05006889,-0.027285431,0.18800528,0.141577438,0.004995178,26.50341391,29.28027321,7.104863861,0.185396027,0.022730896,-0.020253479,0
4,123.201661,10.25379821,0.034020081,0.192086945,0.058127136,0.051215103,0.11254866,0.047328308,10.04768704,0.23121553,62.79723694,-45.12055232,-230.5893193,0.250843277,0.112120117,-330.8159539,0.009399536,-274.1676356,21.11550345,0.003000946,1.772061783,-0.016820068,-249.5331947,0.230684113,-27.96277338,69.41691945,58.15953816,44.01418436,0.243736969,0.075046143,17.56968953,-358.8556863,0.232535217,-256.065171,0.079490372,-0.000803986,0.050272186,0.192218307,18.24702644,0.032965668,-13.05006889,-0.027285431,0.187975464,0.141498444,0.00499559,26.50341391,29.28027321,7.104863861,0.185278503,0.02271669,-0.020023926,0
5,123.2022,12.11743014,0.033982193,0.192164413,0.05837851,0.051193344,0.112780487,0.0474254,10.04768704,0.231358704,62.79723694,-45.12055232,-251.2162952,0.251023178,0.112739166,-310.9036168,0.009929977,-247.215299,21.11550345,0.003001709,1.770298203,-0.016005051,-255.6177985,0.230721008,-27.96277338,69.41691945,58.15953816,44.01418436,0.243653366,0.075112076,17.56968953,-324.7591482,0.233097931,-233.6958322,0.09002861,-0.000415436,0.050118179,0.192186996,18.24702644,0.033285782,-13.05006889,-0.027285431,0.187972214,0.141423126,0.004995651,26.50341391,29.28027321,7.104863861,0.185499252,0.022876556,-0.020033508,0
6,122.9665455,15.24106338,0.034014206,0.191932495,0.058216003,0.051247787,0.112671295,0.047453262,10.04768704,0.231337265,62.79723694,-45.12055232,-231.1386168,0.251000992,0.112336411,-331.0081941,0.009881409,-275.4422449,21.11550345,0.003001419,1.771270187,-0.015956131,-250.0883245,0.23074707,-27.96277338,69.41691945,58.15953816,44.01418436,0.243679413,0.075079834,17.56968953,-358.9713236,0.232943146,-255.9862457,0.127,-0.000983429,0.050092621,0.192222656,18.24702644,0.033359146,-13.05006889,-0.027285431,0.187990128,0.141517456,0.004995743,26.50341391,29.28027321,7.104863861,0.185360474,0.022762299,-0.020284317,0
7,121.2773429,15.55021455,0.034010986,0.191773483,0.057945648,0.0510625,0.112417343,0.047338928,10.04768704,0.231201218,62.79723694,-45.12055232,-250.224646,0.250876938,0.112114227,-311.1394713,0.009512894,-246.2282611,21.11550345,0.003000961,1.771136459,-0.016168594,-255.0166491,0.230700668,-27.96277338,69.41691945,58.15953816,44.01418436,0.243617859,0.075023514,17.56968953,-324.1189781,0.232658401,-234.3957274,0.261140778,-0.001470566,0.049966003,0.19220018,18.24702644,0.033024734,-13.05006889,-0.027285431,0.187935638,0.141473618,0.004995636,26.50341391,29.28027321,7.104863861,0.18511879,0.022613388,-0.020392929,0
8,119.555,15.58954912,0.033998962,0.192073898,0.058088577,0.051281921,0.112643707,0.047363358,10.04768704,0.231287674,62.79723694,-45.12055232,-230.8092928,0.250991592,0.112334641,-331.3997083,0.009675919,-275.8605973,21.11550345,0.003001144,1.771119843,-0.016143311,-250.2008812,0.230743576,-27.96277338,69.41691945,58.15953816,44.01418436,0.243679123,0.07503923,17.56968953,-358.8623927,0.232735489,-255.6850966,0.0794431,-0.00144191,0.049947754,0.192251114,18.24702644,0.033274719,-13.05006889,-0.027285431,0.18795932,0.141484604,0.004995392,26.50341391,29.28027321,7.104863861,0.185258484,0.022663834,-0.02010495,0
9,118.5685,15.61386316,0.033988235,0.191929581,0.058325363,0.051139267,0.112601425,0.047363007,10.04768704,0.231231262,62.79723694,-45.12055232,-250.5993349,0.250901581,0.112267136,-311.2640636,0.009686432,-246.5038476,21.11550345,0.00300087,1.770879684,-0.016374802,-254.8009885,0.230689011,-27.96277338,69.41691945,58.15953816,44.01418436,0.243615341,0.075054962,17.56968953,-324.3249799,0.232719528,-234.6154328,0.098804749,-0.001079224,0.050049408,0.192201614,18.24702644,0.033206146,-13.05006889,-0.027285431,0.187932907,0.141427048,0.004994888,26.50341391,29.28027321,7.104863861,0.185334976,0.022734024,-0.020035446,0
10,118.2620345,15.62080345,0.033985931,0.191961868,0.058311905,0.051128296,0.112679749,0.047400131,10.04768704,0.231305527,62.79723694,-45.12055232,-230.6168004,0.251040237,0.112595276,-331.8166868,0.009730682,-275.5087919,21.11550345,0.00300119,1.770248184,-0.016004913,-249.4919175,0.230696365,-27.96277338,69.41691945,58.15953816,44.01418436,0.243629089,0.075093414,17.56968953,-359.2205257,0.232932922,-255.6133453,0.307514236,-0.000463333,0.049894241,0.192246384,18.24702644,0.032999985,-13.05006889,-0.027285431,0.187864548,0.141383408,0.004995636,26.50341391,29.28027321,7.104863861,0.185366516,0.022783829,-0.020019424,0
