Model,Fault Type,Noise 0.00,Noise 0.05,Noise 0.10,Noise 0.15,Noise 0.20,Noise 0.25,Noise 0.30,Noise 0.35,Noise 0.40,Noise 0.45,Noise 0.50,Noise 0.55,Noise 0.60,Noise 0.65,Noise 0.70,Noise 0.75,Noise 0.80,Noise 0.85,Noise 0.90,Noise 0.95,Noise 1.00,Baseline,Degradation,Avg Acc
SGBoost,Wiring Reversal,1,1,1,0.9815,0.9444,0.9444,0.9259,0.9444,0.963,0.963,0.8889,0.9074,0.9074,0.8889,0.8889,0.8704,0.9259,0.8889,0.9444,0.8333,0.9259,1,0.0741,0.9304
SGBoost,Offset Bias,0.963,0.963,0.963,0.963,0.9444,0.9259,0.9259,0.9074,0.9259,0.8889,0.9259,0.9444,0.8889,0.9444,0.8519,0.7963,0.8148,0.7778,0.7593,0.7593,0.6852,0.963,0.2778,0.8801
SGBoost,Sensor Aging,0.9444,0.963,0.9444,0.9444,0.9259,0.9259,0.8519,0.8889,0.8148,0.7963,0.8333,0.8148,0.9074,0.8148,0.8333,0.7963,0.8333,0.7593,0.8148,0.7593,0.7593,0.9444,0.1852,0.8436
SGBoost,Thermal Drift,0.9074,0.9259,0.8889,0.9074,0.9259,0.9259,0.9074,0.9074,0.9074,0.8704,0.8148,0.8704,0.9074,0.8704,0.8704,0.8333,0.8333,0.8704,0.7407,0.8148,0.8148,0.9074,0.0926,0.8718
SGBoost,Radiation,0.9074,0.9259,0.8704,0.8333,0.8704,0.7778,0.8148,0.8148,0.8519,0.8333,0.8148,0.7593,0.8148,0.6852,0.7037,0.7778,0.8519,0.7407,0.8148,0.7222,0.7407,0.9074,0.1667,0.8044
SGBoost,High Noise,0.9444,0.9444,0.8889,0.9074,0.9259,0.9444,0.9074,0.8704,0.8519,0.8519,0.8704,0.8519,0.8889,0.8704,0.8704,0.8333,0.7778,0.8889,0.8519,0.7593,0.7407,0.9444,0.2037,0.8621
SGBoost,Gas Leakage,0.8519,0.8704,0.8889,0.8519,0.8519,0.7963,0.8519,0.8148,0.8889,0.8704,0.8333,0.8148,0.8889,0.8704,0.7778,0.7593,0.7407,0.7778,0.7407,0.7407,0.7963,0.8519,0.0556,0.8224
SGBoost,Signal Drift,0.8704,0.8889,0.9074,0.8889,0.8889,0.8889,0.9259,0.8148,0.8148,0.7963,0.8519,0.8519,0.8333,0.7963,0.8704,0.7593,0.7407,0.6667,0.7963,0.7778,0.8519,0.8704,0.0185,0.8319
XGBoost,Wiring Reversal,1,1,0.9815,0.963,0.963,1,0.9815,0.9815,0.9444,0.9444,0.9259,0.9815,0.9259,0.9259,0.9444,0.8889,0.9259,0.9444,0.9259,0.8519,0.9444,1,0.0556,0.9474
XGBoost,Offset Bias,0.963,0.963,0.9444,0.9444,0.963,0.963,0.9444,0.9444,0.9444,0.9815,0.9259,0.9815,0.9074,0.9444,0.9259,0.8889,0.9074,0.8889,0.9444,0.8333,0.9074,0.963,0.0556,0.9373
XGBoost,Sensor Aging,0.9444,0.9074,0.9074,0.9444,0.9074,0.9074,0.9259,0.8889,0.8148,0.8704,0.8889,0.9259,0.8704,0.8333,0.8333,0.7407,0.7407,0.8333,0.7593,0.7778,0.7963,0.9444,0.1481,0.8529
XGBoost,Thermal Drift,0.9259,0.9259,0.9259,0.9444,0.9259,0.9074,0.9444,0.8519,0.9259,0.8704,0.9444,0.8889,0.7778,0.8889,0.8148,0.7407,0.8519,0.8704,0.8148,0.8148,0.8333,0.9259,0.0926,0.873
XGBoost,Radiation,0.8889,0.9074,0.8704,0.9444,0.8704,0.9074,0.8889,0.8704,0.8889,0.8148,0.7778,0.8704,0.8148,0.8333,0.7778,0.7778,0.6852,0.8148,0.6852,0.7593,0.6852,0.8889,0.2037,0.8232
XGBoost,High Noise,0.9259,0.9259,0.9444,0.9074,0.9074,0.9444,0.9074,0.9259,0.9074,0.9074,0.8148,0.8333,0.7963,0.8889,0.7963,0.7407,0.8148,0.8519,0.8519,0.7222,0.7593,0.9259,0.1667,0.8508
XGBoost,Gas Leakage,0.8889,0.8889,0.8704,0.8333,0.8519,0.8889,0.8333,0.9074,0.8704,0.8148,0.8889,0.8333,0.8148,0.8333,0.8704,0.8333,0.8148,0.8148,0.7222,0.7593,0.8148,0.8889,0.0741,0.8383
XGBoost,Signal Drift,0.9074,0.9074,0.9074,0.9074,0.9259,0.8889,0.8704,0.8889,0.8519,0.8704,0.8333,0.7778,0.8704,0.7963,0.8333,0.7778,0.8519,0.6667,0.8519,0.8333,0.8333,0.9074,0.0741,0.8458
Cost Sensitive LGBM,Wiring Reversal,0.963,0.963,0.963,0.9074,0.963,0.963,0.963,0.9074,0.8889,0.8889,0.8889,0.8333,0.9074,0.9815,0.8889,0.8704,0.8704,0.9259,0.9074,0.8889,0.8889,0.963,0.0741,0.9199
